4049 INFO  frequency  rate chain power     Fail(%) Mask_Limit(%)    mask_P/F
4003 INFO       2462    t5     1  19.5        10.5           8.0         322
4003 INFO       2462    t6     1  18.6         8.5           8.0         261
4003 INFO       2462    t7     1  18.5        12.8           8.0         393
4003 INFO       2462    f0     1  19.6         0.0           8.0           .
4003 INFO       2462    f7     1  18.2         0.0           8.0           .
4003 INFO       2462    1L     2  20.3         6.9           8.0           .
4003 INFO       2462   11S     2  20.5         8.4           8.0         258
4003 INFO       2462     6     2  20.2         0.1           8.0           .
4003 INFO       2462    54     2  20.1         0.7           8.0           .
4003 INFO       2462    t0     2  20.3         0.2           8.0           .
4003 INFO       2462    t5     2  19.7         0.9           8.0           .
4003 INFO       2462    t6     2  18.7         1.9           8.0           .
4003 INFO       2462    t7     2  18.7         2.2           8.0           .
4003 INFO       2462    f0     2  18.9         0.0           8.0           .
4003 INFO       2462    f7     2  17.3         0.0           8.0           .





4001 INFO 2GHz SPECTRAL MASK
4049 INFO  frequency  rate chain power     Fail(%) Mask_Limit(%)    mask_P/F
4003 INFO       2412    1L     1  20.3         4.1           8.0           .
4003 INFO       2412   11S     1  20.5         7.3           8.0           .
4003 INFO       2412     6     1  20.3         0.0           8.0           .
4003 INFO       2412    54     1  20.2         0.2           8.0           .
4003 INFO       2412    t0     1  20.3         0.0           8.0           .
4003 INFO       2412    t5     1  19.5         0.1           8.0           .
4003 INFO       2412    t6     1  18.8         0.0           8.0           .
4003 INFO       2412    t7     1  18.8         0.2           8.0           .
4003 INFO       2412    f0     1  19.5         0.0           8.0           .
4003 INFO       2412    f7     1  18.1         0.0           8.0           .
4003 INFO       2412    1L     2  20.0         0.7           8.0           .
4003 INFO       2412   11S     2  20.2         1.6           8.0           .
4003 INFO       2412     6     2  19.7         0.0           8.0           .
4003 INFO       2412    54     2  19.9         0.0           8.0           .
4003 INFO       2412    t0     2  19.6         0.0           8.0           .
4003 INFO       2412    t5     2  19.3         0.0           8.0           .
4003 INFO       2412    t6     2  18.4         0.0           8.0           .
4003 INFO       2412    t7     2  18.4         0.0           8.0           .
4003 INFO       2412    f0     2  19.6         0.0           8.0           .
4003 INFO       2412    f7     2  18.5         0.0           8.0           .
4003 INFO       2437    1L     1  19.8         7.2           8.0           .
4003 INFO       2437   11S     1  20.0        12.0           8.0         370
4003 INFO       2437     6     1  19.9         0.0           8.0           .
4003 INFO       2437    54     1  19.5         0.5           8.0           .
4003 INFO       2437    t0     1  19.7         0.1           8.0           .
4003 INFO       2437    t5     1  19.3         0.0           8.0           .
4003 INFO       2437    t6     1  18.3         0.1           8.0           .
4003 INFO       2437    t7     1  18.0         0.3           8.0           .
4003 INFO       2437    f0     1  19.2         0.0           8.0           .
4003 INFO       2437    f7     1  17.8         0.0           8.0           .
4003 INFO       2437    1L     2  19.9         0.0           8.0           .
4003 INFO       2437   11S     2  20.1         0.0           8.0           .
4003 INFO       2437     6     2  20.0         0.0           8.0           .
4003 INFO       2437    54     2  19.7         0.0           8.0           .
4003 INFO       2437    t0     2  19.7         0.0           8.0           .
4003 INFO       2437    t5     2  19.5         0.0           8.0           .
4003 INFO       2437    t6     2  18.5         0.0           8.0           .
4003 INFO       2437    t7     2  18.5         0.0           8.0           .
4003 INFO       2437    f0     2  18.8         0.0           8.0           .
4003 INFO       2437    f7     2  17.9         0.0           8.0           .
4003 INFO       2462    1L     1  19.9         7.5           8.0           .
4003 INFO       2462   11S     1  20.1         9.6           8.0         295
4003 INFO       2462     6     1  19.9         0.0           8.0           .
4003 INFO       2462    54     1  19.8         0.1           8.0           .
4003 INFO       2462    t0     1  19.9         0.0           8.0           .
4003 INFO       2462    t5     1  19.2         0.0           8.0           .
4003 INFO       2462    t6     1  18.3         0.0           8.0           .
4003 INFO       2462    t7     1  18.2         0.8           8.0           .
4003 INFO       2462    f0     1  19.5         0.0           8.0           .
4003 INFO       2462    f7     1  18.0         0.0           8.0           .
4003 INFO       2462    1L     2  20.2         0.0           8.0           .
4003 INFO       2462   11S     2  20.9         0.2           8.0           .
4003 INFO       2462     6     2  20.3         0.0           8.0           .
4003 INFO       2462    54     2  20.2         0.0           8.0           .
4003 INFO       2462    t0     2  19.9         0.0           8.0           .
4003 INFO       2462    t5     2  19.3         0.0           8.0           .
4003 INFO       2462    t6     2  19.2         0.0           8.0           .
4003 INFO       2462    t7     2  19.2         0.0           8.0           .
4003 INFO       2462    f0     2  18.4         0.0           8.0           .
4003 INFO       2462    f7     2  17.8         0.0           8.0           .
